GameKey,Team,Player,Position,Jersey
0,MONTREAL CANADIENS,BRENDAN GALLAGHER,R,11
0,MONTREAL CANADIENS,ALEXANDER SEMIN,R,13
0,MONTREAL CANADIENS,TOMAS PLEKANEC,C,14
0,MONTREAL CANADIENS,TOMAS FLEISCHMANN,L,15
0,MONTREAL CANADIENS,TORREY MITCHELL,C,17
0,MONTREAL CANADIENS,DEVANTE SMITH-PELLY,R,21
0,MONTREAL CANADIENS,DALE WEISE,R,22
0,MONTREAL CANADIENS,JEFF PETRY,D,26
0,MONTREAL CANADIENS,ALEX GALCHENYUK,C,27
0,MONTREAL CANADIENS,NATHAN BEAULIEU,D,28
0,MONTREAL CANADIENS,BRIAN FLYNN,C,32
0,MONTREAL CANADIENS,DAVID DESHARNAIS,C,51
0,MONTREAL CANADIENS,MAX PACIORETTY,L,67
0,MONTREAL CANADIENS,ALEXEI EMELIN,D,74
0,MONTREAL CANADIENS,P.K. SUBBAN,D,76
0,MONTREAL CANADIENS,TOM GILBERT,D,77
0,MONTREAL CANADIENS,ANDREI MARKOV,D,79
0,MONTREAL CANADIENS,LARS ELLER,C,81
0,MONTREAL CANADIENS,CAREY PRICE,G,31
0,MONTREAL CANADIENS,MIKE CONDON,G,39
0,TORONTO MAPLE LEAFS,MATT HUNWICK,D,2
0,TORONTO MAPLE LEAFS,DION PHANEUF,D,3
0,TORONTO MAPLE LEAFS,PIERRE-ALEXANDRE PARENTEAU,R,15
0,TORONTO MAPLE LEAFS,NICK SPALING,C,16
0,TORONTO MAPLE LEAFS,JOFFREY LUPUL,R,19
0,TORONTO MAPLE LEAFS,JAMES VAN RIEMSDYK,L,21
0,TORONTO MAPLE LEAFS,SHAWN MATTHIAS,C,23
0,TORONTO MAPLE LEAFS,PETER HOLLAND,C,24
0,TORONTO MAPLE LEAFS,DANIEL WINNIK,C,26
0,TORONTO MAPLE LEAFS,BRAD BOYES,R,28
0,TORONTO MAPLE LEAFS,MARK ARCOBELLO,R,33
0,TORONTO MAPLE LEAFS,SCOTT HARRINGTON,D,36
0,TORONTO MAPLE LEAFS,TYLER BOZAK,C,42
0,TORONTO MAPLE LEAFS,NAZEM KADRI,C,43
0,TORONTO MAPLE LEAFS,MORGAN RIELLY,D,44
0,TORONTO MAPLE LEAFS,LEO KOMAROV,C,47
0,TORONTO MAPLE LEAFS,JAKE GARDINER,D,51
0,TORONTO MAPLE LEAFS,MARTIN MARINCIN,D,52
0,TORONTO MAPLE LEAFS,JAMES REIMER,G,34
0,TORONTO MAPLE LEAFS,JONATHAN BERNIER,G,45
1,NEW YORK RANGERS,DAN GIRARDI,D,5
1,NEW YORK RANGERS,KEVIN KLEIN,D,8
1,NEW YORK RANGERS,J.T. MILLER,C,10
1,NEW YORK RANGERS,KEVIN HAYES,R,13
1,NEW YORK RANGERS,DERICK BRASSARD,C,16
1,NEW YORK RANGERS,MARC STAAL,D,18
1,NEW YORK RANGERS,JESPER FAST,R,19
1,NEW YORK RANGERS,CHRIS KREIDER,C,20
1,NEW YORK RANGERS,DEREK STEPAN,C,21
1,NEW YORK RANGERS,DAN BOYLE,D,22
1,NEW YORK RANGERS,OSCAR LINDBERG,C,24
1,NEW YORK RANGERS,VIKTOR STALBERG,L,25
1,NEW YORK RANGERS,JARRET STOLL,C,26
1,NEW YORK RANGERS,RYAN MCDONAGH,D,27
1,NEW YORK RANGERS,DOMINIC MOORE,C,28
1,NEW YORK RANGERS,MATS ZUCCARELLO,C,36
