Sum of home r,Sum of away r
-4.666175192127348e-12,-1.2061928068294807e-11
5.644901239876058e-11,-2.3588921137545463e-11
8.630209120964784e-12,3.0897585401151435e-12
1.4524065808276929e-11,1.6061193217454414e-12
8.20426885112412e-12,-1.7496598101655798e-11
5.644901239876058e-11,1.189846444760798e-12
5.644901239876058e-11,1.189846444760798e-12
-2.716875163446339e-13,1.979387495211905e-12
-2.028874701678776e-11,-1.52909154773224e-11
-7.785232471603763e-12,7.947539985755903e-14
-1.098597214928016e-11,-1.7398733522280928e-12
2.3326168549515487e-11,-1.148338477524234e-11
2.3326168549515487e-11,-2.889735240795518e-12
1.8128948956324192e-11,-2.8346646130618643e-11
5.644901239876058e-11,3.0897585401151435e-12
-3.84079801646997e-11,-2.0476436200741433e-11
-3.84079801646997e-11,-2.0476436200741433e-11
-7.544829931877509e-12,-2.3588921137545463e-11
-1.098597214928016e-11,1.979387495211905e-12
-1.098597214928016e-11,1.979387495211905e-12
-1.098597214928016e-11,1.979387495211905e-12
2.3326168549515487e-11,2.848454764532791e-12
4.581549368215823e-11,-9.037681140021361e-12
6.510387454785698e-11,1.189846444760798e-12
2.5453693000750956e-11,3.391270691102368e-12
-7.841429289600133e-12,-5.0637534300321444e-12
1.4173031289034651e-12,-6.047746906365707e-12
1.4173031289034651e-12,-6.047746906365707e-12
2.5126552810000402e-12,-6.047746906365707e-12
-3.0623809674311963e-12,-3.3914318396711544e-11
-3.0623809674311963e-12,-3.3914318396711544e-11
-1.7997685940366286e-11,-5.0637534300321444e-12
1.7722372057228197e-13,-3.507739838116933e-11
-7.704744500344267e-13,-7.517890860924102e-12
-2.839313329109133e-12,-3.244417444215315e-11
-2.839313329109133e-12,-3.244417444215315e-11
-2.839313329109133e-12,-3.244417444215315e-11
-2.839313329109133e-12,-4.544855221498582e-12
-1.834120228580126e-11,-3.523909401476107e-11
-2.839313329109133e-12,-4.544855221498582e-12
-2.839313329109133e-12,-4.544855221498582e-12
-3.0623809674311963e-12,-3.7389778119826186e-12
7.291703603168977e-12,-1.517814740427433e-11
-1.834120228580126e-11,-5.126002809779852e-13
-1.834120228580126e-11,-5.126002809779852e-13
-7.841429289600133e-12,-5.118857393043899e-12
-2.839313329109133e-12,-7.517890860924102e-12
-1.2466801811535748e-11,-3.3914318396711544e-11
-8.936781441696708e-12,-6.5890013476022945e-12
-4.811125430314713e-12,-8.842666478973628e-12
-2.259781874381386e-11,-3.8958817717214106e-13
-8.936781441696708e-12,-7.91377696565182e-12
-2.839313329109133e-12,-4.667867325304426e-12
-9.189471121188688e-12,-5.118857393043899e-12
-1.678386311767914e-12,-2.9306632355204326e-12
-1.678386311767914e-12,-2.9306632355204326e-12
2.4313165218432992e-12,1.5133276188800334e-12
1.0726445676494575e-11,-1.91446369797758e-12
1.5376576956364191e-12,3.457814893493251e-12
7.505072733038522e-12,1.3371257550436711e-12
1.5376576956364191e-12,4.73174448574808e-12
1.9172975174298705e-12,1.5133276188800334e-12
1.6753346674170836e-12,8.633026533494761e-13
2.5689934936239637e-12,2.7750987794548404e-12
2.1893536718305123e-12,4.723583442944687e-13
1.9260118715888033e-12,2.7733158803976493e-13
3.584195509978639e-12,7.928121416626921e-13
-1.0665408272674778e-11,-6.076721803378964e-13
2.5689934936239637e-12,1.9171362207573728e-12
2.5689934936239637e-12,1.5133276188800334e-12
6.425220168413718e-12,4.73174448574808e-12
-8.889082061059458e-12,4.73174448574808e-12
1.8975119200309956e-12,-9.656146801167004e-13
