Sum of home r,Sum of away r
-4.666175192127348e-12,-1.2061928068294807e-11
-4.666175192127348e-12,-1.2061928068294807e-11
8.20426885112412e-12,7.947539985755903e-14
5.644901239876058e-11,-2.3588921137545463e-11
1.4524065808276929e-11,1.6061193217454414e-12
-7.544829931877509e-12,-1.7398733522280928e-12
4.15760963893237e-12,-1.9726385993954512e-11
4.15760963893237e-12,-1.9726385993954512e-11
5.644901239876058e-11,1.189846444760798e-12
1.9112331412947516e-11,1.979387495211905e-12
5.644901239876058e-11,3.0897585401151435e-12
5.644901239876058e-11,3.0897585401151435e-12
5.644901239876058e-11,3.0897585401151435e-12
-2.716875163446339e-13,1.979387495211905e-12
-2.716875163446339e-13,1.979387495211905e-12
-4.666175192127348e-12,-3.201106375825783e-11
-7.785232471603763e-12,7.947539985755903e-14
-4.666175192127348e-12,-1.2061928068294807e-11
1.4283663268550675e-11,-1.2061928068294807e-11
5.644901239876058e-11,-8.426291561835653e-12
5.644901239876058e-11,-8.426291561835653e-12
-7.544829931877509e-12,1.979387495211905e-12
-7.544829931877509e-12,1.979387495211905e-12
5.644901239876058e-11,3.0897585401151435e-12
1.4524065808276929e-11,7.947539985755903e-14
-7.469092863175324e-12,7.947539985755903e-14
5.644901239876058e-11,7.947539985755903e-14
1.4524065808276929e-11,1.528829376582565e-12
-1.098597214928016e-11,-3.201106375825783e-11
-3.352489729864114e-11,-1.7398733522280928e-12
-7.544829931877509e-12,-1.7398733522280928e-12
5.644901239876058e-11,1.189846444760798e-12
-4.666175192127348e-12,1.979387495211905e-12
8.510895936983008e-11,-1.0162015972940461e-11
7.547387045512969e-11,-8.053023388369189e-12
4.474827264239313e-11,9.485426691784455e-13
2.3326168549515487e-11,-2.889735240795518e-12
2.3326168549515487e-11,-2.889735240795518e-12
4.6615527507085806e-11,2.705180468381838e-12
6.407163126566305e-11,-3.201106375825783e-11
-2.635430870760638e-12,-3.201106375825783e-11
-1.459365524679088e-12,-3.201106375825783e-11
-1.459365524679088e-12,-2.8346646130618643e-11
1.8128948956324192e-11,-2.8346646130618643e-11
5.644901239876058e-11,3.0897585401151435e-12
5.644901239876058e-11,3.0897585401151435e-12
-1.098597214928016e-11,-3.201106375825783e-11
