,Equilibrium ratio,Adjusted CF
AARON EKBLAD,2.818515162058136e-13,2.818515162057342e-13
AARON NESS,-1.911928688455675e-12,-1.9119286884593304e-12
ADAM CLENDENING,5.205931951528849e-13,5.205931951526138e-13
ADAM CRACKNELL,-7.896585539320447e-13,-7.896585539326683e-13
ADAM HENRIQUE,-2.0273026150614132e-13,-2.0273026150618241e-13
ADAM LARSSON,-6.687331894836279e-15,-6.687331894836323e-15
ADAM LOWRY,-2.1281782420861338e-14,-2.1281782420861792e-14
ADAM MCQUAID,1.9494837669620409e-13,1.9494837669616607e-13
ADAM PARDY,3.8720616170578436e-13,3.872061617056344e-13
ADAM PELECH,-6.353258966417278e-13,-6.353258966421315e-13
ALAN QUINE,-1.1123967347845092e-12,-1.1123967347857467e-12
ALEC MARTINEZ,-4.641634163615391e-14,-4.641634163615606e-14
ALEKSANDER BARKOV,5.481356632082153e-13,5.481356632079148e-13
ALES HEMSKY,-3.609952963591406e-13,-3.6099529635927095e-13
ALEX BIEGA,1.783560329456221e-13,1.783560329455903e-13
ALEX CHIASSON,3.349569830587973e-13,3.349569830586851e-13
ALEX FRIESEN,-9.098455839166608e-12,-9.09845583924939e-12
ALEX GALCHENYUK,-1.18507168943806e-12,-1.1850716894394644e-12
ALEX GOLIGOSKI,-2.3730265240215443e-13,-2.3730265240221073e-13
ALEX GRANT,-1.5517545422580195e-12,-1.5517545422604276e-12
ALEX KHOKHLACHEV,-9.413563627739966e-13,-9.413563627748827e-13
ALEX KILLORN,5.701344886650805e-14,5.70134488665048e-14
ALEX OVECHKIN,1.612095080637168e-12,1.6120950806345693e-12
ALEX PETROVIC,-7.280440966349506e-14,-7.280440966350037e-14
ALEX PIETRANGELO,-1.3311218989044138e-13,-1.331121898904591e-13
ALEX TANGUAY,7.001718202079808e-13,7.001718202074906e-13
ALEXANDER BURMISTROV,-1.2190681136000497e-14,-1.2190681136000646e-14
ALEXANDER EDLER,-4.457740871311594e-13,-4.457740871313581e-13
ALEXANDER SEMIN,2.132526211282189e-12,2.1325262112776414e-12
ALEXANDER STEEN,-7.306987995355993e-14,-7.306987995356527e-14
ALEXANDER WENNBERG,5.512498348959373e-13,5.512498348956334e-13
ALEXANDRE BURROWS,-1.244752049914602e-13,-1.244752049914757e-13
ALEXANDRE GRENIER,6.197654152037546e-13,6.197654152033705e-13
ALEXEI EMELIN,-3.1042493743712804e-13,-3.104249374372244e-13
ALEXEY MARCHENKO,-5.968432162611979e-13,-5.968432162615541e-13
ANDERS LEE,1.3918686163691876e-12,1.3918686163672505e-12
ANDRE BENOIT,-7.559528387170374e-13,-7.559528387176088e-13
ANDRE BURAKOVSKY,5.929585283475118e-13,5.929585283471603e-13
ANDREAS ATHANASIOU,-2.1054969899239948e-13,-2.105496989924438e-13
ANDREAS MARTINSEN,7.902818825133138e-13,7.902818825126893e-13
ANDREI MARKOV,-4.1011714932025125e-14,-4.1011714932026804e-14
ANDREJ NESTRASIL,-1.1357606124929063e-12,-1.1357606124941964e-12
ANDREJ SEKERA,1.3115171011116467e-14,1.3115171011116295e-14
ANDREJ SUSTR,9.893931987169265e-14,9.893931987168285e-14
ANDREW AGOZZINO,-1.5746685442774573e-12,-1.5746685442799368e-12
ANDREW BODNARCHUK,2.722841849874051e-13,2.7228418498733097e-13
ANDREW CAMPBELL,-4.879861963666684e-12,-4.879861963690497e-12
ANDREW COGLIANO,2.572457708241644e-13,2.572457708240982e-13
ANDREW COPP,-7.053748183423122e-13,-7.053748183428097e-13
ANDREW DESJARDINS,1.2515345908538085e-12,1.2515345908522422e-12
ANDREW FERENCE,4.4105581604169067e-13,4.410558160414962e-13
ANDREW LADD,1.290933071821965e-13,1.2909330718217984e-13
ANDREW MACDONALD,7.716262795821188e-14,7.716262795820592e-14
ANDREW MILLER,2.7780126266991014e-12,2.778012626691384e-12
ANDREW SHAW,-9.963396947415353e-13,-9.963396947425279e-13
ANDREY PEDAN,1.3419961098929677e-12,1.3419961098911668e-12
ANDY ANDREOFF,-1.1598327871986105e-13,-1.159832787198745e-13
ANDY GREENE,-8.926000502694053e-14,-8.92600050269485e-14
ANTHONY BITETTO,-1.127691791036922e-12,-1.1276917910381936e-12
ANTHONY DUCLAIR,3.6478842255232733e-13,3.6478842255219425e-13
ANTHONY MANTHA,2.963119894921179e-12,2.9631198949123985e-12
ANTHONY PELUSO,-4.781471874860477e-13,-4.781471874862763e-13
ANTOINE ROUSSEL,-2.345026651398433e-13,-2.345026651398983e-13
ANTOINE VERMETTE,5.428721814157357e-13,5.42872181415441e-13
ANTON LANDER,-7.370568363607622e-14,-7.370568363608164e-14
ANTON SLEPYSHEV,1.5485176590543442e-13,1.5485176590541047e-13
ANTON STRALMAN,-3.195292304131094e-13,-3.195292304132115e-13
ANZE KOPITAR,9.948045296868328e-13,9.948045296858432e-13
ARTEM ANISIMOV,-1.5804196041482906e-13,-1.5804196041485405e-13
ARTEMI PANARIN,-1.0716315506976065e-12,-1.0716315506987548e-12
AUSTIN WATSON,1.1635499023491765e-13,1.1635499023490412e-13
BARCLAY GOODROW,5.709116026391203e-13,5.709116026387944e-13
BARRET JACKMAN,-8.344216628027365e-13,-8.344216628034329e-13
BEAU BENNETT,1.0267643543949496e-12,1.0267643543938954e-12
BEN CHIAROT,-3.394021579676375e-14,-3.3940215796764904e-14
BEN HARPUR,8.646952759411064e-13,8.646952759403588e-13
BEN HUTTON,8.738844119722495e-13,8.738844119714857e-13
BEN LOVEJOY,1.8016876752076632e-13,1.8016876752073388e-13
BEN SMITH,-5.555820153978555e-13,-5.555820153981642e-13
BEN STREET,1.3076908933055511e-12,1.3076908933038412e-12
BENOIT POULIOT,4.270050635237117e-15,4.270050635237099e-15
BLAKE COMEAU,6.290948258201937e-14,6.290948258201542e-14
BLAKE PIETILA,-1.1988961081350877e-13,-1.1988961081352313e-13
BLAKE WHEELER,-1.780853567910634e-14,-1.7808535679106656e-14
BO HORVAT,2.2388728359716862e-13,2.2388728359711851e-13
BOBBY FARNHAM,-2.3260499602997906e-13,-2.326049960300332e-13
BOBBY RYAN,-3.9907954684084224e-13,-3.9907954684100153e-13
BOONE JENNER,7.148835221167625e-13,7.148835221162514e-13
BORNA RENDULIC,-6.042905295367717e-12,-6.042905295404234e-12
BOYD GORDON,-5.2525828924922724e-14,-5.252582892492548e-14
BRACKEN KEARNS,-2.693596955867841e-12,-2.6935969558750968e-12
BRAD BOYES,-3.0300798499875736e-12,-3.030079849996755e-12
BRAD HUNT,2.1974742779162765e-12,2.1974742779114475e-12
BRAD MALONE,-3.2202778448399763e-13,-3.2202778448410133e-13
BRAD MARCHAND,3.2544530492815277e-13,3.2544530492804685e-13
BRAD RICHARDS,-1.5305313615998558e-12,-1.5305313616021984e-12
BRAD RICHARDSON,3.652703317832723e-13,3.6527033178313886e-13
BRAD STUART,-2.5288193729492296e-12,-2.5288193729556245e-12
BRADY SKJEI,-2.3844710529872756e-13,-2.384471052987844e-13
BRANDON BOLLIG,3.9587643118794437e-13,3.9587643118778766e-13
BRANDON DAVIDSON,-1.8282653731595874e-13,-1.8282653731599216e-13
BRANDON DUBINSKY,-2.2149248238023135e-13,-2.214924823802804e-13
BRANDON GORMLEY,1.0395783418246648e-12,1.039578341823584e-12
BRANDON MANNING,1.1850025041045656e-13,1.185002504104425e-13
BRANDON MASHINTER,-4.5072643032282727e-13,-4.5072643032303043e-13
BRANDON PIRRI,-2.2765573233247006e-13,-2.276557323325219e-13
BRANDON PRUST,-1.342885645312389e-12,-1.3428856453141923e-12
BRANDON SAAD,-1.75473996778084e-13,-1.754739967781148e-13
BRANDON SUTTER,5.960402722258811e-13,5.960402722255259e-13
BRANDON TANEV,2.1400097596266885e-12,2.1400097596221087e-12
BRAYDEN MCNABB,8.766209456671412e-13,8.766209456663727e-13
BRAYDEN SCHENN,2.647740344879359e-13,2.647740344878658e-13
BRAYDON COBURN,4.9719174242767285e-14,4.971917424276481e-14
BRENDAN GALLAGHER,2.4130377558235247e-13,2.413037755822942e-13
BRENDAN GAUNCE,1.2642394284400353e-12,1.2642394284384369e-12
BRENDAN LEIPSIC,-6.751055143675945e-12,-6.7510551437215216e-12
BRENDAN SMITH,3.519461668273656e-13,3.519461668272418e-13
BRENDAN WOODS,5.5327132782424535e-12,5.532713278211843e-12
BRENDEN DILLON,1.0098364807769277e-13,1.0098364807768257e-13
BRENT BURNS,1.3817008674928187e-12,1.3817008674909095e-12
BRENT REGNER,-4.9512728173082415e-14,-4.9512728173084864e-14
BRENT SEABROOK,5.5001518611949227e-14,5.50015186119462e-14
