Home goals,Home shots,Home misses,Home blocks,Home Corsi,Away goals,Away shots,Away misses,Away blocks,Away Corsi
1,36,14,15,66,3,26,16,9,54
2,32,14,15,63,3,24,11,3,41
1,29,11,13,54,5,39,11,10,65
1,19,11,13,44,5,27,12,10,54
2,29,19,13,63,6,26,9,9,50
1,26,8,13,48,3,19,8,10,40
3,29,12,6,50,2,23,12,14,51
3,28,13,13,57,1,24,7,17,49
2,23,7,9,41,1,25,16,12,54
3,21,21,16,61,0,37,11,18,66
4,19,13,12,48,5,25,16,29,75
1,20,7,4,32,3,27,8,6,44
2,31,8,12,53,4,21,5,8,38
4,18,8,12,42,0,22,11,8,41
2,34,14,20,70,3,32,8,14,57
1,40,22,10,73,4,18,7,7,36
1,24,13,13,51,4,27,13,10,54
2,19,10,12,43,4,34,13,11,62
4,37,17,19,77,4,29,13,16,62
7,23,5,10,45,1,38,7,10,56
5,24,7,5,41,2,37,16,13,68
5,22,10,17,54,3,22,10,16,51
3,44,27,15,89,4,15,6,10,35
2,24,3,13,42,0,31,10,16,57
3,16,10,14,43,2,30,11,19,62
4,30,8,10,52,1,28,13,14,56
6,22,12,17,57,3,30,9,24,66
2,28,11,11,52,3,35,7,22,67
2,37,18,22,79,1,27,14,11,53
2,42,12,20,76,0,27,13,17,57
1,20,17,17,55,3,31,14,23,71
3,27,9,10,49,6,17,16,9,48
4,40,13,16,73,2,22,11,16,51
4,29,12,12,57,2,22,9,7,40
1,32,12,14,59,0,31,18,17,66
1,28,19,18,66,1,24,10,16,51
1,22,5,5,33,3,17,10,8,38
1,40,6,13,60,4,25,6,12,47
2,31,8,9,50,3,27,10,9,49
0,31,21,20,72,5,27,15,12,59
1,22,19,18,60,4,26,13,6,49
3,21,16,17,57,1,20,13,10,44
4,48,10,25,87,2,26,7,13,48
3,15,11,17,46,4,24,10,19,57
0,15,22,17,54,3,23,8,8,42
3,38,12,13,66,7,20,11,8,46
3,26,14,14,57,0,30,15,17,62
2,21,15,9,47,6,19,10,10,45
0,37,9,8,54,4,25,9,15,53
4,24,7,13,48,3,44,17,12,76
2,34,9,10,55,0,22,14,16,52
4,20,14,16,54,1,26,9,19,55
3,29,10,13,55,0,25,16,17,58
3,30,23,14,70,5,17,7,8,37
3,26,14,5,48,2,24,7,9,42
2,24,8,17,51,4,25,13,13,55
3,27,13,15,58,4,20,9,8,41
1,31,10,5,47,1,33,5,7,46
3,24,11,13,51,6,28,13,12,59
3,17,7,11,38,5,31,14,6,56
3,27,9,18,57,1,19,10,10,40
3,31,17,10,61,4,28,12,10,54
0,35,16,41,92,3,22,7,12,44
2,35,23,14,74,1,25,12,8,46
4,37,11,17,69,1,21,10,12,44
3,38,12,21,74,3,22,10,15,50
2,20,21,12,55,1,31,7,8,47
2,24,12,10,48,4,33,8,13,58
2,31,10,12,55,1,26,13,12,52
4,30,10,10,54,1,18,7,19,45
6,28,10,14,58,3,22,12,12,49
4,26,10,20,60,1,22,6,10,39
2,22,10,19,53,5,23,15,20,63
3,21,10,23,57,5,38,13,17,73
1,26,13,18,58,2,22,12,6,42
2,27,12,9,50,4,37,6,9,56
4,18,15,10,47,1,34,21,20,76
1,33,13,9,56,2,22,7,6,37
2,38,17,22,79,1,22,7,10,40
4,24,12,10,50,0,22,6,21,49
3,22,8,4,37,2,18,11,10,41
1,34,12,12,59,2,30,13,17,62
3,32,10,14,59,2,31,12,11,56
0,37,14,28,79,4,25,10,8,47
3,33,8,12,56,0,38,9,18,65
4,29,14,14,61,4,25,12,17,58
