Player,Home CF%,Away CF%,Total CF%,Fudges
AARON EKBLAD,0.5588235294117647,0.5128205128205128,0.5357798165137615,None
AARON NESS,0.5384615384615384,0.4666666666666667,0.5,None
ADAM CLENDENING,0.5757575757575758,0.2833333333333333,0.46540880503144655,None
ADAM CRACKNELL,0.44155844155844154,0.40601503759398494,0.41904761904761906,None
ADAM HENRIQUE,0.48917748917748916,0.49673202614379086,0.4934823091247672,None
ADAM LARSSON,0.4152542372881356,0.3954983922829582,0.4040219378427788,None
ADAM LOWRY,0.4228855721393035,0.38372093023255816,0.40482573726541554,None
ADAM MCQUAID,0.40487804878048783,0.4232558139534884,0.4142857142857143,None
ADAM PARDY,0.4878048780487805,0.48,0.48226950354609927,None
ADAM PELECH,0.2571428571428571,0.4375,0.3137254901960784,None
ALAN QUINE,0.2,0.5,0.2058823529411765,Away
ALEC MARTINEZ,0.49673202614379086,0.5150602409638554,0.5062695924764891,None
ALEKSANDER BARKOV,0.5364806866952789,0.4315352697095436,0.4831223628691983,None
ALES HEMSKY,0.6162162162162163,0.5722222222222222,0.5945205479452055,None
ALEX BIEGA,0.4626865671641791,0.38666666666666666,0.4225352112676056,None
ALEX CHIASSON,0.4153846153846154,0.38974358974358975,0.4025641025641026,None
ALEX FRIESEN,0.09090909090909091,0.5,0.15384615384615383,Both
ALEX GALCHENYUK,0.5811688311688312,0.6130434782608696,0.5947955390334573,None
ALEX GOLIGOSKI,0.5288461538461539,0.5277044854881267,0.5283018867924528,None
ALEX GRANT,0.16666666666666666,0.5483870967741935,0.4864864864864865,None
ALEX KHOKHLACHEV,0.36363636363636365,0.7142857142857143,0.56,None
ALEX KILLORN,0.5907172995780591,0.5319148936170213,0.5614406779661016,None
ALEX OVECHKIN,0.5955414012738853,0.6133720930232558,0.6048632218844985,None
ALEX PETROVIC,0.4975369458128079,0.4381443298969072,0.46851385390428213,None
ALEX PIETRANGELO,0.44551282051282054,0.49865951742627346,0.4744525547445255,None
ALEX TANGUAY,0.5163934426229508,0.4484536082474227,0.4863013698630137,None
ALEXANDER BURMISTROV,0.47560975609756095,0.4847161572052402,0.48,None
ALEXANDER EDLER,0.565,0.448,0.5,None
ALEXANDER SEMIN,0.5333333333333333,0.6666666666666666,0.5833333333333334,None
ALEXANDER STEEN,0.5548172757475083,0.4921259842519685,0.5261261261261261,None
ALEXANDER WENNBERG,0.4946236559139785,0.5770925110132159,0.5399515738498789,None
ALEXANDRE BURROWS,0.47959183673469385,0.4830508474576271,0.48148148148148145,None
ALEXANDRE GRENIER,0.4375,0.7142857142857143,0.5666666666666667,None
ALEXEI EMELIN,0.4774436090225564,0.5232558139534884,0.5,None
ALEXEY MARCHENKO,0.44559585492227977,0.44692737430167595,0.44623655913978494,None
ANDERS LEE,0.6123348017621145,0.5367965367965368,0.574235807860262,None
ANDRE BENOIT,0.03225806451612903,0.2857142857142857,0.20792079207920794,Home
ANDRE BURAKOVSKY,0.5023041474654378,0.5567010309278351,0.5279805352798054,None
ANDREAS ATHANASIOU,0.4418604651162791,0.42424242424242425,0.43119266055045874,None
ANDREAS MARTINSEN,0.45454545454545453,0.4700854700854701,0.4634146341463415,None
