,Home Corsi,Away Corsi,Home RF prediction,Away RF prediction,Home importance,Away importance
AARON EKBLAD,0.5782701929949964,0.5273668639053255,0.5258783264807853,0.48548945141196836,0.0010173274600628252,0.0010561879523833606
AARON NESS,0.5256410256410257,0.5327102803738317,0.5193703307622993,0.4806296692377006,7.675729824660277e-05,9.922346783872675e-05
ADAM CLENDENING,0.5418410041841004,0.4338461538461539,0.5193703307622993,0.4806296692377006,0.00039649139803657826,0.0003653670865371015
ADAM HENRIQUE,0.4669051878354204,0.45269796776454096,0.5193703307622993,0.47991478869158644,0.0006157344485053433,0.0008407168345136506
ADAM PELECH,0.38461538461538464,0.4155844155844156,0.5193182882075126,0.4806296692377006,0.00020026732363122936,7.358540339687715e-05
ALEC MARTINEZ,0.5369426751592357,0.5083234244946493,0.5181135596550173,0.4796305872694061,0.0012119224289967043,0.0012092268294058098
ALEX BIEGA,0.4705128205128205,0.4177545691906005,0.5193703307622993,0.4682986715723333,0.0005599188535158541,0.0007477698029048358
ALEX CHIASSON,0.4569327731092437,0.4111731843575419,0.528590579103925,0.47118282447100107,0.0007814758042010239,0.0007199813622082045
ALEX FRIESEN,0.55,0.55,0.5142590872183979,0.4806296692377006,3.224346487387844e-05,0.0
ALEX GOLIGOSKI,0.5289380976346251,0.5154845154845155,0.5193703307622993,0.4806296692377006,0.0011718917783519796,0.0012446344433123795
ALEX GRANT,0.4,0.44660194174757284,0.5141000291381694,0.4756167660118942,4.4551489935950155e-05,6.0425583817230696e-05
ALEX KHOKHLACHEV,0.5192307692307693,0.5609756097560976,0.5193703307622993,0.4806296692377006,4.900836750585098e-05,2.6641735367101415e-05
ALEX TANGUAY,0.5331632653061225,0.4575424575424576,0.5256932765493653,0.48244120607351293,0.0008079012869450733,0.0007178073020969128
ALEXANDER SEMIN,0.6337209302325582,0.5706521739130435,0.5500330870935989,0.4777072851546882,0.00017614566660348322,0.00015876233458503753
ALEXANDRE BURROWS,0.5208768267223383,0.4814814814814815,0.5221162399209995,0.4806296692377006,0.0007286426762122488,0.0009719865059039802
ALEXANDRE GRENIER,0.39473684210526316,0.5671641791044777,0.5193703307622993,0.4806296692377006,7.657706416635027e-05,8.479382803958856e-05
ALEXEI EMELIN,0.4601366742596811,0.48391812865497075,0.5160377247029289,0.4806296692377006,0.0010293146089671702,0.0010403623766543876
ALEXEY MARCHENKO,0.47155361050328226,0.4177820267686424,0.5193703307622993,0.46972228430264545,0.0007879011995732686,0.0008503503126481223
ANDRE BENOIT,0.1111111111111111,0.375,0.5193703307622993,0.4806296692377006,0.0,3.659407805183221e-05
ANDRE BURAKOVSKY,0.5405405405405406,0.5268817204301075,0.5177424030579385,0.4806296692377006,0.0007353537742324314,0.0007391097989112573
ANDREAS MARTINSEN,0.4365904365904366,0.427027027027027,0.5167801206949785,0.4665213958258271,0.0005168835933405028,0.00047957905877576425
ANDREI MARKOV,0.5381779884149552,0.5083518930957684,0.5193703307622993,0.4788994492829493,0.001178377773474708,0.0012856986098499928
ANDREJ SEKERA,0.5247285886610374,0.4961007798440312,0.5187510555696369,0.4851406883197882,0.0013183726802179696,0.0011292962326573746
ANDREW AGOZZINO,0.5072463768115942,0.3970588235294118,0.5193703307622993,0.46423839081655144,4.757992847187074e-05,6.777170757302402e-05
ANDREW BODNARCHUK,0.42857142857142855,0.4039735099337748,0.5150219631730566,0.4654079059947442,0.00034185986823657944,0.00046203153472099704
ANDREW CAMPBELL,0.43373493975903615,0.4545454545454546,0.5084766617351452,0.4806296692377006,0.0001942663261300007,7.851779421224613e-05
ANDREW COPP,0.4517304189435337,0.42521367521367526,0.51759986039255,0.4806296692377006,0.00036118965162317934,0.0003578065581232531
ANDREW DESJARDINS,0.43975283213182287,0.4378378378378378,0.5193703307622993,0.48146984203647497,0.000750820921810066,0.0006170256905116927
ANDREW FERENCE,0.4158415841584158,0.5,0.5135327292398288,0.48579113894971665,0.00010121233160356873,3.3665458937793513e-05
ANDREW LADD,0.5403458213256485,0.5273356401384083,0.5280990607369693,0.4823255501661845,0.0009752219412794009,0.0009121012265265927
ANDREW MACDONALD,0.4807017543859649,0.4528688524590164,0.5170144558679629,0.4810715079700843,0.0005120371598396947,0.0004202925338274582
ANDREW MILLER,0.5,0.4918032786885246,0.5193703307622993,0.4806296692377006,1.0295687290228751e-05,7.889935406695188e-05
ANDREY PEDAN,0.3986013986013986,0.484375,0.5193832339881057,0.4806296692377006,0.00010725110107813052,0.00015033816559861443
ANTHONY BITETTO,0.4276315789473684,0.4902597402597403,0.5096071280037144,0.4806296692377006,0.0003364632794080686,0.00029616455164765824
ANTHONY MANTHA,0.5641025641025641,0.6305732484076434,0.5193703307622993,0.4806296692377006,8.800946645852182e-05,0.00014029824591478047
ANTOINE ROUSSEL,0.5318221447253705,0.43302752293577984,0.524201016886624,0.47321910195653877,0.0009546138259206978,0.0007769711446999841
ANTOINE VERMETTE,0.550423402617398,0.4747116237799468,0.522718925209306,0.4810859932894498,0.0009369689078123489,0.0007068084887508562
ANTON LANDER,0.4493865030674847,0.4037685060565276,0.5193703307622993,0.4789830427106838,0.0005268597438020102,0.0005895303424966035
ANTON SLEPYSHEV,0.5084745762711864,0.45783132530120485,0.5193703307622993,0.4806296692377006,5.376241941639491e-05,6.279742544830418e-05
ANTON STRALMAN,0.552821997105644,0.5120440467997247,0.5289705803567,0.48173526823550494,0.0010031636769957985,0.0011288969173726315
ANZE KOPITAR,0.572139303482587,0.5709857408555487,0.5182215367434576,0.49017045508994345,0.0009348675735881498,0.0010113362627283816
ARTEMI PANARIN,0.596749226006192,0.5584878744650499,0.5404689492725194,0.4999512951075507,0.0009402996485096271,0.0009055433026260548
AUSTIN WATSON,0.4228723404255319,0.4188679245283019,0.5170762044552255,0.48343573476848717,0.00036514799422542,0.00040742477910447
BARCLAY GOODROW,0.39316239316239315,0.443609022556391,0.5092214115123523,0.4806296692377006,0.00010628733444768932,0.0001530580439237955
BARRET JACKMAN,0.5329545454545455,0.5217889908256881,0.5193703307622993,0.48583031700260887,0.0006418983292943441,0.0006825716577217751
BEN HARPUR,0.4888888888888889,0.40476190476190477,0.5193703307622993,0.47597953004576626,2.424207982494868e-05,6.896213422038518e-05
BEN HUTTON,0.48491879350348027,0.5022189349112426,0.5193703307622993,0.4806296692377006,0.0008681515473184334,0.0011182048500318568
BEN SMITH,0.4325153374233129,0.40340909090909094,0.5132504655660514,0.4806296692377006,0.00026895737930598984,0.00012270427391784593
BEN STREET,0.43333333333333335,0.4,0.5193703307622993,0.47560429874800997,2.0753868988414568e-05,8.89143871271205e-05
BLAKE COMEAU,0.475658419792498,0.4376923076923077,0.5193703307622993,0.4806296692377006,0.0008667455213090074,0.000780786888575097
BLAKE PIETILA,0.4523809523809524,0.3870967741935484,0.5139806918353367,0.4806296692377006,3.115576813872642e-05,8.141232322822217e-05
BO HORVAT,0.45286195286195285,0.41510791366906474,0.5178199089292237,0.4635815898993492,0.0008922313815171024,0.0009250640012484368
BOBBY FARNHAM,0.49107142857142855,0.3866666666666667,0.5232327887080741,0.48311676601189424,0.00022193418307376672,0.000316678368481798
BOBBY RYAN,0.5621818181818182,0.5252764612954186,0.5208948380597542,0.4877269625368354,0.0010891773478099768,0.00087930249414046
BORNA RENDULIC,0.2682926829268293,0.2682926829268293,0.5143332156039008,0.4806296692377006,3.849504348451425e-05,0.0
BRACKEN KEARNS,0.5,0.5,0.5193703307622993,0.4806296692377006,2.32312429765809e-05,0.0
BRAD HUNT,0.5515151515151515,0.5,0.5215864771740736,0.4806296692377006,0.0001536996391100165,3.220788603216409e-05
BRAD RICHARDSON,0.42574257425742573,0.4311926605504587,0.5106714390988888,0.4806296692377006,0.000992751184716076,0.000734733005251169
